"//","Open/save this file as a standard CSV  <=>  comma (,) separated and double quotes ("") as text delimiter.",,,,,,
"//","You can safely insert commas or double quotes into data fields.",,,,,,
"//","EXCEPTION: Don't insert a comma right after a double quote, since this terminates the field.",,,,,,
"//","When editing with OO.org Calc, use the single quote (') for three-number-dates to circumvent automatic conversion.",,,,,,
"//",,,,,,,
"//!","gnuclad parses this correctly no matter in what order the nodes are. You can swap any lines.",,,,,,
"//!",,,,,,,
"//!","Empty lines get ignored, the first column controls the rest of the line:",,,,,,
"//!","# = comment, N = node, C = connector, D = domain",,,,,,
"//!","SVG = SVG image to include, PNG = PNG image to include",,,,,,
"//!",,,,,,,
,,,,,,,
"#","Nodes",,,,,,
"#","Name","Color","Parent","Start","Stop","Icon","Description","[Namechange","When","Description","[Namechange","When","Description",". . . ]]"
"N","DR-DOS 7.01.01","#ffcc5c","OpenDOS 7.01","2002.7.1","2003.7.1","",""
"N","DR-DOS 7.01.02","#ffcc5c","DR-DOS 7.01.01","2003.1.1","2004.2.1","",""
"N","DR-DOS 7.01.03","#ffcc5c","DR-DOS 7.01.02","2003.2.1","2004.3.1","",""
"N","DR-DOS 7.01.04","#ffcc5c","DR-DOS 7.01.03","2003.2.1","2004.3.1","",""
"N","DR-DOS 7.01.05","#ffcc5c","DR-DOS 7.01.04","2003.3.15","2004.4.1","",""
"N","DR-DOS 7.01.06","#ffcc5c","DR-DOS 7.01.05","2003.12.1","2005.1.1","",""
"N","DR-DOS 7.01.07","#ffcc5c","DR-DOS 7.01.06","2005.3.1","2006.4.1","",""
"N","DR-DOS 7.01.08","#ffcc5c","DR-DOS 7.01.07","2012.8.1","2013.9.1","",""
"N","OpenDOS 7.01","#ffcc5c","Novell DOS 7","1997.2.1","1998.1.1","",""
"N","DR-DOS 8.1","#ffcc5c","OpenDOS 7.01","2005.10.1","2006.7.1","",""
"N","Caldera DR-OpenDOS 7.02","#ffcc5c","OpenDOS 7.01","1997.12.1","1999.9.1","",""
"N","CP/M 80","#800000","Kernel","1978.1.1","1978.8.1","",""
"N","Caldera DR-DOS 7.02","#ffcc5c","Caldera DR-OpenDOS 7.02","1998.3.1","1999.8.1","",""
"N","CP/M 86 1.0","#800000","CP/M 80","1982.4.1","1983.3.1","",""
"N","OEM DR-DOS 7.04","#ffcc5c","DR-DOS 7.03","1999.8.1","2000.11.1","",""
"N","CP/M 86 1.1","#800000","CP/M 86 1.0","1983.3.1","1984.3.1","",""
"N","OEM DR-DOS 7.05 (Caldera DR-DOS)","#ffcc5c","OEM DR-DOS 7.04","1999.11.1","2002.4.1","",""
"N","Concurrent DOS 3.1","#800000","CP/M 86 1.1","1984.3.1","1985.6.1","",""
"N","DR-DOS 7.06","#ffcc5c","OEM DR-DOS 7.05 (Caldera DR-DOS)","1999.12.1","2000.10.1","",""
"N","DR DOS 3.31","#800000","Concurrent DOS 3.1","1988.5.1","1989.3.1","",""
"N","DR-DOS 7.07","#ffcc5c","DR-DOS 7.06","2000.8.1","2001.7.1","",""
"N","DR DOS 3.32","#800000","DR DOS 3.31","1988.8.1","1989.6.1","",""
"N","DR-DOS 7.03","#ffcc5c","Caldera DR-DOS 7.02","1999.1.1","1999.12.1","",""
"N","DR DOS 3.33","#800000","DR DOS 3.32","1988.9.1","1989.7.1","",""
"N","DR-DOS 8.0","#ffcc5c","DR-DOS 7.03","2004.3.1","2005.1.1","",""
"N","DR DOS 7.0","#800000","DR DOS 6.0","1993.12.1","1994.9.1","",""
"N","DR DOS 3.35","#800000","DR DOS 3.33","1988.10.1","1989.8.1","",""
"N","DR-DOS 8.1 (Withdrawn)","#ffcc5c","DR-DOS 8.0","2005.10.1","2007.6.1","",""
"N","(Lineo) Caldera DR-DOS","#ffcc5c","DR-DOS 7.03","1999.6.1","2001.2.1","",""
"N","Novell DOS 7","#ed1c24","DR DOS 7.0","1994.4.1","1995.2.1","",""
"N","DR DOS 3.40","#800000","DR DOS 3.35","1989.1.1","1990.1.1","",""
"N","Novell DOS 7.11","#ed1c24","Novell DOS 7","1995.1.1","1996.1.1","",""
"N","DR DOS 5.0","#800000","DR DOS 3.41","1990.5.1","1991.2.1","",""
"N","Novell DOS 7.15.2","#ed1c24","Novell DOS 7.11","1996.1.1","1997.2.1","",""
"N","DR DOS 6.0","#800000","DR DOS 5.0","1991.9.1","1992.6.1","",""
"N","DR DOS 6.0/V","#800000","DR DOS 6.0","1992.7.1","1993.6.1","",""
"N","DR DOS 3.41","#800000","DR DOS 3.40","1989.6.1","1990.5.1","",""
"N","EZ DOS 3.41","#800000","DR DOS 3.41","1989.6.1","1990.5.1","",""
"N","Kernel","#00a1f1","","1976.12.1","1977.6.1","",""
"N","Windows NT 3.1 Advanced Server","#6aahcf","NT","1993.7.27","1995.10.1","",""
"N","NT","#fb2e01","Kernel","1993.6.27","1993.9.1","",""
"N","Windows NT 3.1","#fb2e01","NT","1993.7.27","1994.8.1","",""
"N","Windows NT 3.51","#fb2e01","Windows NT 3.5","1995.5.30","1996.7.25","",""
"N","Windows NT 3.5","#fb2e01","Windows NT 3.1","1994.8.21","1995.9.25","",""
"N","DOS","#00a1f1","Kernel","1978.1.1","1978.3.1","",""
"N","Windows NT 4.0","#fb2e01","Windows NT 3.51","1996.8.24","1997.9.1","",""
"N","Free-DOS Alpha 1","#ee7600","DOS","1994.9.1","1995.12.1","",""
"N","QDOS","#00a1f1","DOS","1980.4.1","1980.10.1","",""
"N","Compaq-DOS 1.12","#fc6434","MS-DOS 1.25","1982.11.1","1984.1.1","",""
"N","MS-DOS 3.2","#00a1f1","MS-DOS 3.1","1986.1.1","1986.10.1","",""
"N","Free-DOS Alpha 2","#ee7600","Free-DOS Alpha 1","1994.12.1","1996.2.1","",""
"N","86-DOS","#00a1f1","QDOS","1980.8.1","1981.2.1","",""
"N","MS-DOS 1.25","#00a1f1","MS-DOS 1.0","1982.4.1","1983.4.1","",""
"N","MS-DOS 3.3","#00a1f1","MS-DOS 3.2","1987.8.1","1988.8.1","",""
"N","NT 5.0 (Windows 2000)","#fb2e01","Windows NT 4.0","2000.2.17","2001.10.26","",""
"N","Windows 2000 Professional","#6aahcf","NT 5.0 (Windows 2000)","2000.2.17","2002.1.26","",""
"N","Free-DOS Alpha 3","#ee7600","Free-DOS Alpha 2","1995.1.1","1996.3.1","",""
"N","MS-DOS 2.0","#00a1f1","MS-DOS 1.25","1983.3.1","1984.2.1","",""
"N","MS-DOS 3.3a","#00a1f1","MS-DOS 3.3","1987.10.1","1988.10.1","",""
"N","Windows 2000 Server","#6aahcf","NT 5.0 (Windows 2000)","2000.2.17","2001.7.26","",""
"N","XP Professional (x64)","#6aahcf","NT 5.2 (Windows XP)","2005.4.25","2006.11.25","",""
"N","Free-DOS Alpha 4","#ee7600","Free-DOS Alpha 3","1995.6.1","1996.8.1","",""
"N","MS-DOS 2.1","#00a1f1","MS-DOS 2.0","1983.10.1","1984.9.1","",""
"N","MS-DOS 4.00","#00a1f1","MS-DOS 3.3a","1988.6.1","1989.6.1","",""
"N","Z-DOS","#fc6434","MS-DOS 1.25","1982.6.1","1982.12.1","",""
"N","Windows Server 2003","#6aahcf","NT 5.2 (Windows XP)","2003.3.24","2004.8.1","",""
"N","Windows Server 2003 R2","#6aahcf","NT 5.2 (Windows XP)","2005.12.6","2007.7.1","",""
"N","Windows Home Server","#6aahcf","NT 5.2 (Windows XP)","2007.7.16","2008.12.30","",""
"N","Windows 2000 Advanced Server","#6aahcf","NT 5.0 (Windows 2000)","2000.2.17","2002.3.1","",""
"N","FreeDOS Alpha 5","#ee7600","Free-DOS Alpha 4","1995.8.1","1996.9.1","",""
"N","MS-DOS 2.11","#00a1f1","MS-DOS 2.1","1984.3.1","1985.3.1","",""
"N","MS-DOS 4.01","#00a1f1","MS-DOS 4.00","1988.11.1","1989.9.1","",""
"N","MS-DOS 1.0","#00a1f1","86-DOS","1981.8.1","1982.7.1","",""
"N","XP (x64 2002)","#6aahcf","NT 5.1 (Windows XP)","2001.10.25","2002.10.25","",""
"N","XP (x64 2003)","#6aahcf","NT 5.2 (Windows XP)","2003.3.28","2004.3.28","",""
"N","FreeDOS Alpha 6","#ee7600","FreeDOS Alpha 5","1997.11.1","1999.1.1","",""
"N","MS-DOS 3.0","#00a1f1","MS-DOS 2.11","1984.7.1","1985.6.1","",""
"N","MS-DOS 4.01a","#00a1f1","MS-DOS 4.01","1990.1.1","1990.12.1","",""
"N","PC DOS 1.0","#1f70c1","MS-DOS 1.0","1981.8.1","1982.5.1","",""
"N","Windows 2000 Datacenter Server","#6aahcf","NT 5.0 (Windows 2000)","2000.9.26","2003.2.26","",""
"N","FreeDOS Beta 1","#ee7600","FreeDOS Alpha 6","1998.3.1","1999.3.1","",""
"N","MS-DOS 5.0","#00a1f1","MS-DOS 4.01a","1991.6.1","1992.3.1","",""
"N","MS-DOS 3.1","#00a1f1","MS-DOS 3.0","1984.11.1","1985.9.1","",""
"N","PC DOS 1.10","#1f70c1","PC DOS 1.0","1982.5.1","1983.5.1","",""
"N","XP Home (x86)","#6aahcf","NT 5.1 (Windows XP)","2001.10.25","2002.10.25","",""
"N","FreeDOS Beta 2","#ee7600","FreeDOS Beta 1","1998.10.1","2000.4.1","",""
"N","MS-DOS 6.0","#00a1f1","MS-DOS 5.0","1993.3.1","1994.2.1","",""
"N","MS-DOS 4.0","#00a1f1","MS-DOS 3.1","1985.6.1","1986.3.1","",""
"N","PC DOS 2.0","#1f70c1","PC DOS 1.10","1983.3.1","1984.1.1","",""
"N","XP Media Center Edition","#6aahcf","XP Home (x86)","2002.7.1","2004.5.1","",""
"N","FreeDOS Beta 3","#ee7600","FreeDOS Beta 2","1999.4.1","2000.4.1","",""
"N","MS-DOS 6.2","#00a1f1","MS-DOS 6.0","1993.11.1","1994.10.1","",""
"N","PC DOS 2.1","#1f70c1","PC DOS 2.0","1983.10.1","1984.8.1","",""
"N","Windows XP Embedded","#6aahcf","NT 5.1 (Windows XP)","2001.11.28","2003.6.28","",""
"N","MS-DOS 6.21","#00a1f1","MS-DOS 6.2","1994.2.1","1995.2.1","",""
"N","PC DOS 3.0","#1f70c1","PC DOS 2.1","1984.8.1","1985.5.1","",""
"N","Windows Fundementals for Legacy PCs","#6aahcf","Windows XP Embedded","2006.7.8","2009.5.8","",""
"N","NT 5.1 (Windows XP)","#fb2e01","NT 5.0 (Windows 2000)","2001.10.25","2003.5.29","",""
"N","MS-DOS 6.22","#00a1f1","MS-DOS 6.21","1994.6.1","1995.8.1","",""
"N","PC DOS 3.1","#1f70c1","PC DOS 3.0","1985.3.1","1986.1.1","",""
"N","XP Professional (x86)","#6aahcf","NT 5.1 (Windows XP)","2001.10.25","2003.5.25","",""
"N","MS-DOS 7.0 (Windows 95)","#00a1f1","MS-DOS 6.22","1995.8.1","1997.8.1","",""
"N","PC DOS 3.2","#1f70c1","PC DOS 3.1","1986.4.1","1987.1.1","",""
"N","MS-DOS 7.1 (Windows 95 R. 2)","#00a1f1","MS-DOS 7.0 (Windows 95)","1996.8.1","1998.10.1","",""
"N","FreeDOS Beta 4","#ee7600","FreeDOS Beta 3","2000.4.1","2001.4.1","",""
"N","FreeDOS Beta 5","#ee7600","FreeDOS Beta 4","2000.8.1","2001.8.1","",""
"N","FreeDOS Beta 6","#ee7600","FreeDOS Beta 5","2001.3.1","2002.3.1","",""
"N","MS-DOS 7.1 (Windows 98)","#00a1f1","MS-DOS 7.1 (Windows 95 R. 2)","1998.6.1","2000.5.1","",""
"N","FreeDOS Beta 7","#ee7600","FreeDOS Beta 6","2001.9.1","2002.9.1","",""
